"rowlabel","split","sex","yrsarea","resyrago","work2","tenure1","livharm1","agegrp7","ethgrp2a","educat3","rural2","edeprivex","wdeprivex","IndivWgtx","cause2m","walkdark","walkday","homealon","wburgl","wmugged","wcarstol","wfromcar","wraped","wattack","wraceatt","worryx","bcsvictim","rubbcomm","vandcomm","poorhou","antisocx"
136229130,"A (Experiences of the police)","Male","3 years but less than 5 years",NA,"Yes","Buying it with the help of a mortgage or loan","Single","25-34","White","Degree or diploma","Urban",1,NA,0.534891963005066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",0.936446130275726
136947260,"B (Attitudes to the CJS)","Male","5 years but less than 10 years",NA,"No","Own it outright","Married/Civil Partnered","75+","White","Apprenticeship or A/AS level","Urban",NA,4,0.651665151119232,NA,NA,NA,NA,NA,NA,"Not at all worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147438230,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Rent it","Married/Civil Partnered","75+","White","None","Rural",2,NA,1.38918423652649,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",-0.246148273348808,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136318080,"D (Online Security)","Male","20 years or longer",NA,"Yes","Own it outright","Married/Civil Partnered","45-54","Asian or Asian British","O level/GCSE","Urban",1,NA,1.09799647331238,"D. Lack of discipline from parents","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not at all common","Very common",NA
137011300,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"No","Own it outright","Single","45-54","White","Apprenticeship or A/AS level","Urban",3,NA,1.02577245235443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
136610310,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Own it outright","Widowed","75+","White","None","Urban",4,NA,0.368914783000946,NA,NA,NA,NA,"Not very worried","Fairly worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.205736204981804,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136602010,"A (Experiences of the police)","Male","2 years but less than 3 years",NA,"Yes","Rent it","Separate","45-54","White","Degree or diploma","Urban",5,NA,0.50788426399231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",0.938187062740326
136659080,"D (Online Security)","Male","20 years or longer",NA,"No","Own it outright","Widowed","65-74","White","Apprenticeship or A/AS level","Urban",2,NA,0.463606536388397,"G. Unemployment","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136613110,"C (Crime prevention and security)","Male","12 months but less than 2 years","Yes","No","Own it outright","Single","55-64","White","Apprenticeship or A/AS level","Urban",1,NA,0.484673321247101,NA,NA,NA,NA,"Not at all worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.770853579044342,"Not a victim of crime","Not very common","Not at all common","Not very common",NA
136842090,"A (Experiences of the police)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Degree or diploma","Urban",1,NA,1.24301421642303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",2.42253255844116
147439070,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Own it outright","Separate","65-74","White","O level/GCSE","Urban",2,NA,0.593143463134766,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137091280,"D (Online Security)","Female","5 years but less than 10 years",NA,"No","Rent it","Cohabiting","45-54","White","O level/GCSE","Urban",NA,1,1.57187855243683,"E. Drugs","A bit unsafe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Not very common",NA
136044190,"C (Crime prevention and security)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Apprenticeship or A/AS level","Urban",2,NA,2.04961824417114,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.822691202163696,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147591040,"D (Online Security)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","45-54","White","Degree or diploma","Urban",4,NA,1.10989594459534,"E. Drugs","A bit unsafe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not at all common","Not very common",NA
136941090,"A (Experiences of the police)","Female","3 years but less than 5 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Degree or diploma","Rural",5,NA,0.545940697193146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not at all common","Not at all common","Not at all common",-0.252225667238235
147499200,"D (Online Security)","Male","5 years but less than 10 years",NA,"Yes","Own it outright","Cohabiting","45-54","White","Apprenticeship or A/AS level","Urban",NA,2,0.541649281978607,"Spontaneous: None of these","Very unsafe","Fairly safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137000320,"D (Online Security)","Female","10 years but less than 20 years",NA,"No","Rent it","Divorced","55-64","White","O level/GCSE","Urban",1,NA,0.657516777515411,"D. Lack of discipline from parents","Very unsafe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Fairly common","Not very common",NA
136994150,"C (Crime prevention and security)","Male","10 years but less than 20 years",NA,"Yes","Rent it","Single","25-34","White","Degree or diploma","Urban",1,NA,0.824039340019226,NA,NA,NA,NA,"Not very worried","Fairly worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.205736204981804,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136088080,"D (Online Security)","Female","Less than 12 months","No","Yes","Rent it","Divorced","55-64","White","Other","Urban",2,NA,0.551782310009003,"B. Poverty","A bit unsafe","Fairly safe","A bit unsafe",NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not at all common","Not at all common",NA
147272190,"C (Crime prevention and security)","Male","20 years or longer",NA,"No","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Cohabiting","65-74","White","None","Rural",4,NA,1.18958330154419,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137087210,"A (Experiences of the police)","Female","20 years or longer","Yes","No","Rent it","Married/Civil Partnered","65-74","White","Degree or diploma","Rural",NA,4,0.475309729576111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-1.21526670455933
136608020,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"No","Own it outright","Widowed","75+","White","Other","Rural",4,NA,0.618464887142181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136040300,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","Apprenticeship or A/AS level","Urban",2,NA,1.14432644844055,NA,NA,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136578220,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"Yes","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Married/Civil Partnered","25-34","Asian or Asian British","Degree or diploma","Urban",3,NA,3.26377964019775,NA,NA,NA,NA,NA,NA,"Not at all worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136726270,"C (Crime prevention and security)","Female","10 years but less than 20 years",NA,"Yes","Rent it","Single","45-54","White","Degree or diploma","Urban",2,NA,0.639819085597992,NA,NA,NA,NA,"Fairly worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.0104916086420417,"Victim of crime","Fairly common","Not very common","Very common",NA
136442170,"A (Experiences of the police)","Male","20 years or longer",NA,"Yes","Rent it","Divorced","45-54","White","None","Urban",2,NA,0.637448489665985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.235942155122757
136697180,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"Yes","Rent it","Single","55-64","White","O level/GCSE","Urban",2,NA,1.17414486408234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
147439050,"A (Experiences of the police)","Female","10 years but less than 20 years",NA,"No","Buying it with the help of a mortgage or loan","Widowed","65-74","Chinese or Other","Degree or diploma","Urban",2,NA,0.585924744606018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Not very common",0.190849483013153
136087150,"C (Crime prevention and security)","Female","5 years but less than 10 years",NA,"No","Own it outright","Single","45-54","White","Degree or diploma","Rural",4,NA,0.534284174442291,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Fairly worried","Not at all worried",0.0630624443292618,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136274030,"C (Crime prevention and security)","Male","Less than 12 months","No","Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","Other","Urban",1,NA,1.30145263671875,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,"Not a victim of crime","Not very common","Not very common","Not very common",NA
137122140,"B (Attitudes to the CJS)","Male","3 years but less than 5 years",NA,"No","Rent it","Cohabiting","25-34","White","O level/GCSE","Urban",1,NA,1.39866209030151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
147288160,"D (Online Security)","Male","20 years or longer",NA,"Yes","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Single","16-24","White","Apprenticeship or A/AS level","Urban",1,NA,1.46251177787781,"E. Drugs","Fairly safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147342110,"C (Crime prevention and security)","Male","Less than 12 months","No","No","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Single","16-24","Asian or Asian British","Apprenticeship or A/AS level","Urban",5,NA,2.04748272895813,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not very worried",-0.226306915283203,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147500130,"A (Experiences of the police)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","45-54","White","Apprenticeship or A/AS level","Urban",NA,5,0.767384767532349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",-1.21526670455933
136895250,"A (Experiences of the police)","Male","12 months but less than 2 years","Yes","No","Rent it","Single","45-54","White","None","Urban",1,NA,0.66281920671463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Fairly common","Not very common","Not very common",NA
136203160,"D (Online Security)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","55-64","White","Degree or diploma","Urban",4,NA,0.922849297523499,"G. Unemployment","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136236100,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"Yes","Rent it","Married/Civil Partnered","25-34","White","O level/GCSE","Urban",1,NA,0.966034352779388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",NA
135304150,"C (Crime prevention and security)","Male","20 years or longer",NA,"No","Rent it","Widowed","75+","White","None","Urban",1,NA,0.994743466377258,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.13190197944641,"Not a victim of crime","Not very common","Not at all common","Not very common",NA
147368010,"A (Experiences of the police)","Female","20 years or longer",NA,"Yes","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Divorced","55-64","White","Degree or diploma","Urban",2,NA,1.14521563053131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",0.0623943358659744
137225090,"A (Experiences of the police)","Female","12 months but less than 2 years","Yes","No","Rent it","Single","25-34","White","O level/GCSE","Urban",NA,2,0.317177414894104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victim of crime","Not very common","Not very common","Not very common",0.012643457390368
147560250,"A (Experiences of the police)","Male","20 years or longer",NA,"Yes","Rent it","Married/Civil Partnered","55-64","White","None","Urban",2,NA,0.503127694129944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",-1.21526670455933
147321260,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"No","Buying it with the help of a mortgage or loan","Divorced","65-74","White","None","Urban",5,NA,0.476848661899567,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136192230,"C (Crime prevention and security)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","Apprenticeship or A/AS level","Urban",5,NA,0.892060518264771,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not at all worried","Not at all worried",-0.55535900592804,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
136577010,"A (Experiences of the police)","Female","10 years but less than 20 years",NA,"No","Rent it","Widowed","65-74","White","None","Urban",2,NA,0.535362958908081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-1.21526670455933
135638300,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"No","Own it outright","Separate","35-44","White","O level/GCSE","Rural",4,NA,0.277203768491745,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not at all common","Not very common",NA
136536220,"B (Attitudes to the CJS)","Female","12 months but less than 2 years","Yes","Yes","Buying it with the help of a mortgage or loan","Cohabiting","25-34","White","Degree or diploma","Rural",5,NA,0.612408638000488,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not very common",NA
147376320,"D (Online Security)","Male","2 years but less than 3 years",NA,"Yes","Rent it","Single","16-24","White","O level/GCSE","Urban",3,NA,1.66475880146027,"G. Unemployment","Fairly safe","Fairly safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Fairly common","Fairly common",NA
136913020,"B (Attitudes to the CJS)","Male","12 months but less than 2 years","Yes","Yes","Buying it with the help of a mortgage or loan","Cohabiting","16-24","White","O level/GCSE","Urban",3,NA,1.70725762844086,NA,NA,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136001140,"B (Attitudes to the CJS)","Male","20 years or longer",NA,"Yes","Live here rent free (inc. rent free in relative/friend's property, excluding squatting)","Single","16-24","White","O level/GCSE","Urban",2,NA,2.99133563041687,NA,NA,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not at all common","Not at all common",NA
137126220,"B (Attitudes to the CJS)","Male","Less than 12 months","No","Yes","Rent it","Single","16-24","White","Degree or diploma","Urban",2,NA,0.970056653022766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Not very common",NA
136920310,"C (Crime prevention and security)","Male","10 years but less than 20 years",NA,"No","Own it outright","Widowed","55-64","White","Degree or diploma","Urban",5,NA,0.41806435585022,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",-0.246148273348808,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147285100,"B (Attitudes to the CJS)","Female","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Divorced","55-64","White","O level/GCSE","Urban",5,NA,0.51737254858017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147370260,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","55-64","White","O level/GCSE","Urban",3,NA,1.20455539226532,NA,NA,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136143250,"A (Experiences of the police)","Male","20 years or longer",NA,"No","Rent it","Married/Civil Partnered","65-74","White","None","Urban",1,NA,1.10047578811646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.263410478830338
135533040,"D (Online Security)","Female","10 years but less than 20 years",NA,"Yes","Rent it","Single","25-34","White","Degree or diploma","Urban",2,NA,0.660537719726562,"J. The economy in general","Fairly safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136990140,"B (Attitudes to the CJS)","Female","20 years or longer",NA,"No","Own it outright","Widowed","75+","White","None","Urban",1,NA,0.734715282917023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147416280,"D (Online Security)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","35-44","White","O level/GCSE","Urban",1,NA,1.28337061405182,"A. Too lenient sentencing","A bit unsafe","A bit unsafe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
136474240,"D (Online Security)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","None","Rural",2,NA,0.441193699836731,"D. Lack of discipline from parents","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136801170,"A (Experiences of the police)","Male","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","45-54","White","O level/GCSE","Urban",5,NA,0.894155561923981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.950397610664368
136386210,"A (Experiences of the police)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","55-64","White","None","Urban",1,NA,1.00967764854431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",0.46715971827507
136545100,"B (Attitudes to the CJS)","Male","Less than 12 months","No","Yes","Rent it","Married/Civil Partnered","35-44","White","Degree or diploma","Urban",NA,5,1.20783030986786,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147444130,"A (Experiences of the police)","Female","3 years but less than 5 years","No","Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","25-34","Chinese or Other","Degree or diploma","Urban",5,NA,1.38560271263123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.314924448728561
136568030,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","None","Urban",3,NA,1.03115797042847,NA,NA,NA,NA,"Very worried","Very worried",NA,NA,"Fairly worried","Fairly worried","Fairly worried",2.03717613220215,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136991050,"A (Experiences of the police)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","75+","White","None","Urban",2,NA,1.21831691265106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-0.241040855646133
137174200,"D (Online Security)","Female","Less than 12 months","No","Yes","Own it outright","Married/Civil Partnered","55-64","White","Degree or diploma","Rural",5,NA,0.500123739242554,"E. Drugs","Fairly safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147525270,"C (Crime prevention and security)","Female","20 years or longer",NA,"Yes","Own it outright","Married/Civil Partnered","55-64","White","Apprenticeship or A/AS level","Rural",3,NA,2.28327536582947,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.31896910071373,"Victim of crime","Not very common","Not very common","Not very common",NA
136403080,"D (Online Security)","Female","20 years or longer",NA,"No","Rent it","Widowed","75+","White","Other","Urban",NA,2,0.634157955646515,"J. The economy in general","Fairly safe","Fairly safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not at all common",NA
136391120,"D (Online Security)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","75+","White","None","Rural",4,NA,0.647583484649658,"D. Lack of discipline from parents","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
147383260,"B (Attitudes to the CJS)","Male","12 months but less than 2 years","Yes","No","Rent it","Cohabiting","25-34","White","Apprenticeship or A/AS level","Urban",2,NA,4.57313394546509,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136619070,"C (Crime prevention and security)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","None","Urban",1,NA,1.14216208457947,NA,NA,NA,NA,"Fairly worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.0104916086420417,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
136747160,"D (Online Security)","Male","20 years or longer",NA,"Yes","Rent it","Married/Civil Partnered","45-54","White","O level/GCSE","Urban",1,NA,0.800731241703033,"F. Alcohol","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Fairly common","Not very common","Not very common",NA
136100290,"A (Experiences of the police)","Male","20 years or longer",NA,"Yes","Own it outright","Married/Civil Partnered","45-54","White","Apprenticeship or A/AS level","Urban",2,NA,0.862433969974518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",0.288866192102432
136825240,"D (Online Security)","Male","10 years but less than 20 years",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","55-64","Asian or Asian British","Other","Urban",2,NA,2.44175839424133,"E. Drugs","Fairly safe","Very safe","Fairly safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136264090,"A (Experiences of the police)","Male","5 years but less than 10 years",NA,"No","Buying it with the help of a mortgage or loan","Married/Civil Partnered","65-74","White","None","Rural",NA,2,0.588165760040283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",-1.21526670455933
